City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,tashtagol,52.7657,87.8894,286.72,90,64,1.69,RU,1691611949
166,puerto deseado,-47.7503,-65.8938,284.85,64,89,6.34,AR,1691611851
167,sinabang,2.4803,96.3801,298.53,88,100,4.87,ID,1691611950
168,hobyo,5.3505,48.5268,297.79,84,82,10.71,SO,1691611950
169,balkanabat,39.5108,54.3671,306.76,20,0,2.89,TM,1691611950
170,dubno,50.4169,25.7343,291.0,60,100,2.4,UA,1691611951
171,davlekanovo,54.2215,55.0343,290.31,71,0,1.27,RU,1691611951
172,lihue,21.9789,-159.3672,304.73,65,75,9.77,US,1691611727
173,aral,40.5156,81.2636,300.05,30,0,4.33,CN,1691611952
174,ugoofaaru,5.6667,73.0,301.08,78,100,6.81,MV,1691611870
175,podporozh'ye,60.9112,34.1706,289.71,98,100,3.42,RU,1691611952
176,borogontsy,62.6683,131.1683,284.82,73,32,2.33,RU,1691611953
177,itoman,26.1247,127.6694,300.16,100,52,3.09,JP,1691611847
178,howrah,22.5892,88.3103,302.15,89,100,3.6,IN,1691611853
179,constantia,44.1833,28.65,291.32,63,0,4.46,RO,1691611843
180,antsiranana,-12.2787,49.2917,295.3,79,1,5.47,MG,1691611954
181,udachny,66.4167,112.4,287.29,50,97,3.16,RU,1691611841
182,yellowknife,62.456,-114.3525,293.71,41,7,6.75,CA,1691611741
183,visakhapatnam,17.69,83.2093,302.53,66,100,1.62,IN,1691611955
184,westport,41.1415,-73.3579,303.86,46,40,4.63,US,1691611955
185,grande prairie,55.1667,-118.8027,287.35,94,100,0.83,CA,1691611738
186,syas'stroy,60.1367,32.5691,289.05,95,100,2.32,RU,1691611956
187,melfort,52.8667,-104.6177,293.4,39,93,4.79,CA,1691611848
188,avarua,-21.2078,-159.775,296.18,73,100,6.69,CK,1691611838
189,kenora,49.8167,-94.4337,293.73,41,72,4.1,CA,1691611745
190,mogadishu,2.0371,45.3438,297.53,87,44,7.1,SO,1691611957
191,lockwood,45.8191,-108.4149,303.94,28,20,5.66,US,1691611864
192,molchanovo,57.5817,83.7692,285.43,91,59,2.28,RU,1691611957
193,aasiaat,68.7098,-52.8699,277.92,78,20,3.71,GL,1691611854
194,miyoshi,35.0833,137.0667,300.94,79,18,6.15,JP,1691611958
195,howard springs,-12.497,131.047,296.1,81,100,2.56,AU,1691611860
196,batang,-6.4846,110.7083,297.23,83,97,2.5,ID,1691611959
197,cabo san lucas,22.8909,-109.9124,306.27,70,100,9.77,MX,1691611850
198,fort bragg,35.139,-79.006,306.06,40,40,2.57,US,1691611844
199,al kharijah,25.4514,30.5464,305.69,21,0,4.99,EG,1691611870
200,san juan,-31.5375,-68.5364,296.01,19,11,4.05,AR,1691611838
201,novokhopersk,51.0969,41.6252,294.48,57,55,3.03,RU,1691611960
202,georgetown,5.4112,100.3354,300.11,89,40,2.57,MY,1691611748
203,chibougamau,49.9168,-74.3659,295.63,44,77,2.06,CA,1691611774
204,okhotsk,59.3833,143.3,287.16,74,11,0.65,RU,1691611961
205,chui,-33.6971,-53.4616,289.58,80,76,5.68,UY,1691611859
206,teguise,29.0605,-13.564,295.27,78,20,10.8,ES,1691611962
207,banda aceh,5.5577,95.3222,299.35,83,95,5.27,ID,1691611962
208,manvi,15.9833,77.05,300.46,64,52,5.79,IN,1691611962
209,bad birnbach,48.4449,13.091,288.92,97,100,2.65,DE,1691611963
210,san patricio,28.017,-97.5169,313.55,40,0,9.1,US,1691611854
211,coquimbo,-29.9533,-71.3436,288.0,82,100,3.6,CL,1691611850
212,port alfred,-33.5906,26.891,289.36,87,48,2.24,ZA,1691611838
213,hemsby,52.6971,1.6918,291.14,82,8,3.93,GB,1691611963
214,anadyr,64.75,177.4833,282.43,81,75,4.0,RU,1691611840
215,aioun,16.6614,-9.6149,311.34,18,98,4.39,MR,1691611964
216,mount gambier,-37.8333,140.7667,283.3,76,99,4.97,AU,1691611869
217,port lincoln,-34.7333,135.8667,285.43,63,99,4.44,AU,1691611856
218,tarinkot,32.6268,65.8733,300.55,16,0,0.54,AF,1691611965
219,ornskoldsvik,63.2909,18.7153,286.68,94,100,2.06,SE,1691611965
220,mili,6.0815,171.735,301.03,74,70,1.77,MH,1691611965
221,miandrivazo,-19.5167,45.4667,295.63,58,91,0.61,MG,1691611966
222,blackmans bay,-43.0167,147.3167,286.33,69,100,3.49,AU,1691611840
223,kapuskasing,49.4169,-82.4331,296.2,60,75,3.6,CA,1691611840
224,alofi,-19.0595,-169.9187,300.09,83,20,2.06,NU,1691611688
225,uturoa,-16.7333,-151.4333,298.05,70,11,8.42,PF,1691611852
226,tangalle,6.024,80.7911,298.83,89,100,4.11,LK,1691611967
227,christchurch,-43.5333,172.6333,276.45,77,87,4.63,NZ,1691611851
228,praia da vitoria,38.7333,-27.0667,298.01,90,100,4.73,PT,1691611842
229,fisterra,42.9049,-9.2629,295.23,75,100,6.49,ES,1691611862
230,potchefstroom,-26.7167,27.1,283.44,57,3,3.38,ZA,1691611968
231,antalaha,-14.9003,50.2788,292.45,90,7,2.96,MG,1691611968
232,severo-yeniseyskiy,60.3725,93.0408,282.31,93,5,2.14,RU,1691611969
233,turkmenbasy,40.0222,52.9552,301.01,51,0,4.46,TM,1691611969
234,ishim,56.1128,69.4902,290.04,79,97,3.09,RU,1691611969
235,abnub,27.2696,31.1511,304.29,24,0,3.75,EG,1691611969
236,muynoq,43.7683,59.0214,302.65,31,0,4.31,UZ,1691611970
237,champerico,14.3,-91.9167,309.45,70,13,3.06,GT,1691611849
238,callao,-12.0667,-77.15,295.31,68,100,5.14,PE,1691611600
239,rio grande,-32.035,-52.0986,290.21,94,100,9.29,BR,1691611738
240,fortuna,40.5982,-124.1573,295.89,72,40,4.63,US,1691611860
241,lompoc,34.6391,-120.4579,303.53,75,75,3.09,US,1691611859
242,amparafaravola,-17.5833,48.2167,288.45,91,58,2.14,MG,1691611763
243,haiku-pauwela,20.9219,-156.3051,300.16,65,40,8.23,US,1691611866
244,olyokminsk,60.3736,120.4264,288.74,96,8,1.75,RU,1691611972
245,tsetserleg,47.475,101.4542,285.4,84,3,1.95,MN,1691611972
246,lukolela,-1.0605,17.1821,296.5,76,27,0.87,CD,1691611972
247,olinda,-8.0089,-34.8553,300.0,65,40,6.69,BR,1691611753
248,kiunga,-6.1219,141.2906,295.24,89,100,1.73,PG,1691611973
249,orkney,-26.9802,26.6727,284.37,50,1,3.59,ZA,1691611973
250,glace bay,46.1969,-59.957,292.07,95,100,7.72,CA,1691611837
251,cafayate,-26.073,-65.9761,295.69,16,58,4.55,AR,1691611974
252,sainte-marie,-20.8968,55.5496,294.22,84,0,5.66,RE,1691611974
253,ayorou,14.7308,0.9174,303.01,61,88,2.06,NE,1691611974
254,happy valley-goose bay,53.3168,-60.3315,290.32,82,100,4.63,CA,1691611845
255,ponta delgada,37.7333,-25.6667,296.55,94,75,3.09,PT,1691611843
256,luderitz,-26.6481,15.1594,296.78,44,71,3.79,NA,1691611849
257,ak'ordat,15.5486,37.8867,303.32,58,94,1.58,ER,1691611975
258,nar'yan-mar,67.6713,53.087,286.38,80,49,2.27,RU,1691611841
259,valdivia,-39.8142,-73.2459,284.2,96,100,4.8,CL,1691611765
260,belomorsk,64.5232,34.7668,293.31,69,100,2.2,RU,1691611976
261,sechura,-5.5569,-80.8222,299.64,61,93,6.91,PE,1691611977
262,tazacorte,28.629,-17.9293,297.69,90,0,6.17,ES,1691611853
263,chonchi,-42.6128,-73.8092,283.71,97,100,3.31,CL,1691611843
264,orcopampa,-15.2661,-72.3417,288.01,30,79,4.89,PE,1691611977
265,ust-nera,64.5667,143.2,287.82,66,15,1.53,RU,1691611841
266,saldanha,-33.0117,17.9442,287.07,80,0,3.99,ZA,1691611636
267,mufulira,-12.5498,28.2407,290.69,32,5,4.16,ZM,1691611978
268,fada,9.5667,8.3,293.42,96,65,1.18,NG,1691611847
269,geraldton,-28.7667,114.6,282.38,87,100,2.57,AU,1691611850
270,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.14,GF,1691611850
271,los frentones,-26.4077,-61.4137,299.52,39,39,2.22,AR,1691611865
272,armavir,44.9892,41.1234,299.53,54,99,2.25,RU,1691611761
273,dalhart,36.0595,-102.5133,304.16,35,0,3.6,US,1691611773
274,ilulissat,69.2167,-51.1,283.16,50,75,1.03,GL,1691611844
275,cidreira,-30.1811,-50.2056,289.32,95,100,9.09,BR,1691611719
276,serhetabat,35.2799,62.3438,299.25,28,0,2.6,TM,1691611980
277,kulhudhuffushi,6.6221,73.07,301.22,78,100,6.84,MV,1691611981
278,constitucion,-35.3333,-72.4167,286.98,72,100,6.71,CL,1691611857
279,vila velha,-20.3297,-40.2925,296.12,86,75,3.6,BR,1691611767
280,nola,40.922,14.5329,298.24,62,86,1.0,IT,1691611981
281,pontianak,-0.0333,109.3333,298.14,100,40,0.51,ID,1691611612
282,nemuro,43.3236,145.575,291.87,100,100,6.04,JP,1691611869
283,as sulayyil,20.4607,45.5779,307.29,9,5,3.46,SA,1691611982
284,shiyan,32.6475,110.7781,296.28,92,11,0.28,CN,1691611805
285,tucurui,-3.7661,-49.6725,306.04,46,81,2.46,BR,1691611983
286,quellon,-43.1167,-73.6167,284.29,93,75,9.77,CL,1691611853
287,kapit,2.0167,112.9333,295.72,99,51,0.43,MY,1691611984
288,gilgit,35.9221,74.3087,301.49,45,1,0.55,PK,1691611984
289,port macquarie,-31.4333,152.9167,278.65,85,23,3.17,AU,1691611984
290,kuusamo,65.9667,29.1833,289.46,96,45,0.94,FI,1691611984
291,banikoara,11.2985,2.4386,296.45,93,92,2.04,BJ,1691611985
292,rongelap,11.1635,166.8941,301.02,76,42,2.61,MH,1691611630
293,newcastle,-32.9272,151.7765,284.66,90,100,1.34,AU,1691611985
294,angra do heroismo,38.65,-27.2167,299.49,90,20,2.68,PT,1691611986
295,bratsk,56.1325,101.6142,289.42,88,100,2.73,RU,1691611986
296,ingeniero jacobacci,-41.3427,-69.5448,284.67,55,100,7.83,AR,1691611986
297,boyolangu,-8.1181,111.8935,293.88,94,95,1.4,ID,1691611987
298,oppdal,62.5943,9.6912,282.71,84,100,2.44,NO,1691611987
299,escanaba,45.7453,-87.0646,300.35,41,20,5.14,US,1691611702
300,inhambane,-23.865,35.3833,293.38,74,44,5.81,MZ,1691611842
301,masvingo,-20.0637,30.8277,285.09,60,1,2.61,ZW,1691611988
302,bilibino,68.0546,166.4372,282.67,49,99,1.44,RU,1691611812
303,cape coast,5.1053,-1.2466,297.24,89,94,5.8,GH,1691611988
